step,train_loss,refusal_rate,alpaca_val_loss
100,4.757349155768752,0.91,1.3959015798842374
200,4.83262788452208,0.87,1.3795361596400673
300,4.77364299768582,0.89,1.3767658176021047
400,4.77207116551348,0.88,1.3737743941448157
500,4.559958414831199,0.85,1.3728018954925603
600,4.660772376023233,0.84,1.37148673343091
700,4.783747094473801,0.89,1.3734765214991058
800,4.739692730130628,0.74,1.385381341343576
900,4.697404795307666,0.83,1.3718641868016377
1000,4.809690906889736,0.79,1.3717722035657225
1100,4.96160856503062,0.87,1.3697862792941788
1200,4.821693902239203,0.73,1.3725024999138655
1300,4.437825421895832,0.86,1.370039896365182
1400,4.453112965684849,0.86,1.3718218024293751
1500,4.421246700454503,0.85,1.3731078383213524
1600,4.345765238357708,0.9,1.3717979490578613
1700,4.219159147860482,0.86,1.373094915745607
1800,4.078241151585243,0.9,1.3721705594562423
1900,4.671378672000137,0.85,1.3715736422556217
2000,4.355560470880009,0.84,1.369573697946703
