step,train_loss,refusal_rate,gsm8k_accuracy
100,1.696126381084323,0.98,0.505
200,1.4062076631933451,0.98,0.505
300,1.4450655579939484,0.96,0.5
400,1.3763946805149316,0.94,0.45
500,1.4004618006199598,0.96,0.455
600,1.355603836774826,0.94,0.515
700,1.4000436986237765,0.93,0.525
800,1.4027526132017374,0.93,0.475
900,1.408026790842414,0.93,0.535
1000,1.4071843560785056,0.93,0.465
1100,1.3478769886493682,0.92,0.5
1200,1.3392951004579663,0.92,0.52
1300,1.3600656818971038,0.92,0.49
1400,1.4124011052772403,0.93,0.475
1500,1.358362390138209,0.91,0.45
1600,1.3394536155462264,0.9,0.46
1700,1.4218198818340897,0.91,0.49
1800,1.4136654373630881,0.91,0.46
1900,1.3497097841650247,0.88,0.485
2000,1.2510842091962695,0.94,0.535
