step,train_loss,refusal_rate,alpaca_val_loss,mean_alignment
100,5.147734533100156,0.92,1.3679728245063674,0.024004119232163897
200,4.763713574002031,0.86,1.3821524322786451,0.024501197805095996
300,5.405250798333436,0.82,1.371460689388479,0.02450324615347199
400,5.003942739441991,0.85,1.3655200291832155,0.023229617517374988
500,5.068788846153766,0.82,1.3751117467613176,0.024621107785995782
600,5.257986154397949,0.82,1.3700537472443497,0.02444848995738929
700,5.299532523155213,0.9,1.3729093363235847,0.025744236028653437
800,4.90141855057329,0.81,1.364293363020313,0.026025939782682275
900,5.046316356551833,0.82,1.3591101372961158,0.026262086325524642
1000,4.850414583445526,0.8,1.3559407406128736,0.02648069599360627
1100,4.866240957425907,0.79,1.3669702650986018,0.026042718573340347
1200,4.606996903006221,0.81,1.3621498277653197,0.025630192178401297
1300,4.733801299519837,0.87,1.3623615442380692,0.0261088568908495
1400,4.358297374676913,0.85,1.3576911985006193,0.025978660152759403
1500,4.226878685054835,0.81,1.3552961327167754,0.026180999673670158
1600,4.303087287488161,0.76,1.3547113265642492,0.025464927006396465
1700,4.5920759025076405,0.74,1.3686524604068486,0.02617954755468028
1800,4.046892020913656,0.87,1.3617134468825192,0.02598450379861918
1900,4.295761626248714,0.8,1.3646982905940641,0.025554459321678484
2000,4.292104197526351,0.76,1.3637505284556009,0.02546225466565894
