step,train_loss,refusal_rate,gsm8k_accuracy,mean_alignment
100,1.559091901779175,0.98,0.455,0.022315423237159848
200,1.5400740560889243,1.0,0.475,0.022348346134614467
300,1.5007550282031297,0.99,0.445,0.02213582818928574
400,1.5147090220451356,0.98,0.465,0.022004653749588345
500,1.5062184559181333,0.97,0.46,0.022224193266343457
600,1.5131730493158102,0.98,0.46,0.022750736218378215
700,1.4944969381392001,0.99,0.44,0.02232506634235116
800,1.490676002204418,0.95,0.4,0.02230086701248573
900,1.5060655875876545,0.98,0.365,0.022060815101472793
1000,1.4887073962390422,0.92,0.455,0.022439960477640852
1100,1.5336521934717893,0.94,0.445,0.022165892827615608
1200,1.523411086499691,0.93,0.47,0.021622851671054377
1300,1.539997575506568,0.93,0.48,0.022388065103379113
1400,1.553448665216565,0.89,0.445,0.021740876125737225
1500,1.5229640423506499,0.86,0.445,0.02220090431572836
1600,1.4817447816953062,0.89,0.415,0.022861552413031307
1700,1.4983707430958748,0.85,0.415,0.02212108407210118
1800,1.424220999032259,0.9,0.46,0.021997463567199053
1900,1.4545598053187132,0.91,0.46,0.022433433575705358
2000,1.2335251517593862,0.93,0.52,0.021706148862514447
