step,train_loss,refusal_rate,alpaca_val_loss,alpha
100,5.205508656446764,0.96,1.3893318641190704,0.0
200,4.72379909357056,0.85,1.3812612572661844,0.0
300,4.897058285241947,0.87,1.3750115268179035,0.0
400,4.700165522005409,0.86,1.3767624615379017,0.0
500,4.652969228823204,0.86,1.374661462879998,0.0
600,4.782565760908183,0.89,1.3740309013290484,0.0
700,4.695933378422633,0.86,1.3732292680632936,0.0
800,4.863052958915941,0.87,1.3688443271227906,0.0
900,4.628749672095291,0.87,1.369918343146977,0.0
1000,4.670919381482527,0.81,1.3678289595482946,0.05
1100,4.973497132193297,0.85,1.3715488115438454,0.05
1200,4.926953785829246,0.91,1.3734723243458995,0.05
1300,4.65799996681977,0.87,1.371067081979476,0.05
1400,4.421530543845147,0.86,1.3696710528174758,0.05
1500,4.421557068442926,0.88,1.368254880228498,0.05
1600,4.26958533345256,0.85,1.3710882444436412,0.05
1700,4.4899973225547,0.78,1.3699401701878977,0.1
1800,4.535427363026829,0.8,1.3730442091821595,0.15000000000000002
1900,4.3915382729680275,0.85,1.3731630153505583,0.15000000000000002
2000,4.455592822460457,0.79,1.3693576871269633,0.2
