step,train_loss,refusal_rate,gsm8k_accuracy,alpha
100,1.560150295868516,0.97,0.49,0.0
200,1.4623447044193745,0.99,0.49,0.0
300,1.3894205608963965,0.94,0.495,0.0
400,1.4106895810365676,0.94,0.505,0.0
500,1.398580963946879,0.94,0.485,0.0
600,1.4014008233696222,0.94,0.495,0.0
700,1.3859333712607622,0.94,0.45,0.0
800,1.3776533277332783,0.92,0.445,0.0
900,1.3874490074068309,0.9,0.475,0.0
1000,1.3619673992320895,0.89,0.46,0.0
1100,1.4133282167464494,0.91,0.5,0.0
1200,1.3997218246757983,0.88,0.51,0.0
1300,1.4152061177417636,0.9,0.475,0.0
1400,1.4244730804860593,0.91,0.475,0.0
1500,1.393099277615547,0.88,0.5,0.0
1600,1.3632070707157253,0.87,0.485,0.0
1700,1.3802533254772424,0.91,0.485,0.0
1800,1.3148292928934098,0.88,0.485,0.0
1900,1.3565098537132143,0.88,0.455,0.0
2000,1.1902810167521238,0.92,0.485,0.0
